OMIM:156600	Dominant
OMIM:156610	Dominant
OMIM:156620	Dominant
OMIM:156700	Dominant
OMIM:156810	Others
OMIM:156850	Dominant
OMIM:156900	Dominant
OMIM:157150	Dominant
OMIM:157151	Dominant
OMIM:157170	Dominant
OMIM:157200	Dominant
OMIM:157300	Dominant
OMIM:157400	Dominant
OMIM:157600	Dominant
OMIM:157640	Dominant
OMIM:157700	Dominant
OMIM:157800	Dominant
OMIM:157900	Dominant
OMIM:157950	Dominant
OMIM:157980	Dominant
OMIM:158000	Dominant
OMIM:158100	Dominant
OMIM:158170	Dominant
OMIM:158250	Dominant
OMIM:158300	Dominant
OMIM:158310	Dominant
OMIM:158320	Dominant
OMIM:158330	Dominant
OMIM:158345	Dominant
OMIM:158350	Dominant
OMIM:158400	Dominant
OMIM:158500	Dominant
OMIM:158580	Dominant
OMIM:158590	Dominant
OMIM:158600	Dominant
OMIM:158650	Dominant
OMIM:158800	Dominant
OMIM:158810	Dominant
OMIM:158900	Dominant
OMIM:158901	Others
OMIM:159000	Dominant
OMIM:159001	Dominant
OMIM:159050	Dominant
OMIM:159100	Dominant
OMIM:159300	Dominant
OMIM:159400	Others
OMIM:159410	Dominant
OMIM:159420	Dominant
OMIM:159500	Dominant
OMIM:159550	Dominant
OMIM:159555	Dominant
OMIM:159600	Dominant
OMIM:159700	Dominant
OMIM:159800	Dominant
OMIM:159900	Dominant
OMIM:159950	Dominant
OMIM:160010	Dominant
OMIM:160120	Dominant
OMIM:160150	Dominant
OMIM:160300	Dominant
OMIM:160500	Dominant
OMIM:160565	Dominant
OMIM:160570	Dominant
OMIM:160700	Dominant
OMIM:160750	Dominant
OMIM:160800	Dominant
OMIM:160900	Dominant
OMIM:160980	Dominant
OMIM:160990	Dominant
OMIM:161000	Dominant
OMIM:161050	Dominant
OMIM:161070	Dominant
OMIM:161080	Dominant
OMIM:161100	Dominant
OMIM:161200	Dominant
OMIM:161400	Dominant
OMIM:161470	Dominant
OMIM:161480	Dominant
OMIM:161500	Dominant
OMIM:161530	Dominant
OMIM:161600	Dominant
OMIM:161700	Dominant
OMIM:161800	Dominant
OMIM:161900	Dominant
OMIM:161950	Dominant
OMIM:162000	Dominant
OMIM:162091	Dominant
OMIM:162100	Dominant
OMIM:162200	Dominant
OMIM:162210	Dominant
OMIM:162240	Dominant
OMIM:162260	Dominant
OMIM:162270	Dominant
OMIM:162300	Dominant
OMIM:162350	Dominant
OMIM:162370	Dominant
OMIM:162400	Dominant
OMIM:162500	Dominant
OMIM:162600	Dominant
OMIM:162700	Dominant
OMIM:162800	Dominant
OMIM:162820	Dominant
OMIM:162830	Dominant
OMIM:162900	Dominant
OMIM:163000	Dominant
OMIM:163050	Dominant
OMIM:163100	Dominant
OMIM:163200	Others
OMIM:163400	Dominant
OMIM:163500	Dominant
OMIM:163600	Dominant
OMIM:163700	Dominant
OMIM:163800	Dominant
OMIM:163850	Dominant
OMIM:163950	Dominant
OMIM:164100	Dominant
OMIM:164150	Dominant
OMIM:164170	Dominant
OMIM:164180	Others
OMIM:164185	Dominant
OMIM:164190	Dominant
OMIM:164200	Dominant
OMIM:164210	Dominant
OMIM:164220	Dominant
OMIM:164230	Dominant
OMIM:164280	Dominant
OMIM:164300	Dominant
OMIM:164310	Dominant
OMIM:164330	Dominant
OMIM:164400	Dominant
OMIM:164500	Dominant
OMIM:164680	Dominant
OMIM:164700	Dominant
OMIM:164745	Dominant
OMIM:164750	Dominant
OMIM:164800	Dominant
OMIM:164900	Dominant
OMIM:165000	Dominant
OMIM:165098	Dominant
OMIM:165150	Dominant
OMIM:165199	Dominant
OMIM:165200	Dominant
OMIM:165300	Dominant
OMIM:165500	Dominant
OMIM:165510	Dominant
OMIM:165550	Dominant
OMIM:165590	Dominant
OMIM:165600	Dominant
OMIM:165660	Dominant
OMIM:165670	Dominant
OMIM:165680	Dominant
OMIM:165700	Dominant
OMIM:165720	Dominant
OMIM:165800	Dominant
OMIM:166200	Dominant
OMIM:166210	Dominant
OMIM:166220	Dominant
OMIM:166230	Dominant
OMIM:166250	Dominant
OMIM:166260	Dominant
OMIM:166300	Dominant
OMIM:166350	Dominant
OMIM:166400	Dominant
OMIM:166450	Dominant
